timestamp,champion,X,Y
2025-01-14 13:26:28,Nami,392,339
2025-01-14 13:26:28,Ryze,338,235
2025-01-14 13:26:28,Aatrox,185,134
2025-01-14 13:26:29,Nami,393,338
2025-01-14 13:26:29,Ryze,343,230
2025-01-14 13:26:29,Aatrox,185,134
2025-01-14 13:26:29,Corki,455,383
2025-01-14 13:26:30,Nami,419,343
2025-01-14 13:26:30,Ryze,346,231
2025-01-14 13:26:30,Aatrox,185,134
2025-01-14 13:26:30,Corki,461,395
2025-01-14 13:26:31,Nami,437,351
2025-01-14 13:26:31,Ryze,352,230
2025-01-14 13:26:31,Aatrox,185,134
2025-01-14 13:26:31,Corki,461,392
2025-01-14 13:26:32,Nami,449,376
2025-01-14 13:26:32,Ryze,335,238
2025-01-14 13:26:32,Aatrox,185,134
2025-01-14 13:26:32,Corki,459,392
2025-01-14 13:26:33,Nami,457,389
2025-01-14 13:26:33,Ryze,337,235
2025-01-14 13:26:33,Aatrox,185,134
2025-01-14 13:26:33,Corki,459,392
2025-01-14 13:26:34,Nami,459,394
2025-01-14 13:26:34,Ryze,341,235
2025-01-14 13:26:34,Aatrox,185,134
2025-01-14 13:26:34,Corki,459,392
2025-01-14 13:26:35,Nami,460,395
2025-01-14 13:26:35,Ryze,341,235
2025-01-14 13:26:35,Aatrox,185,134
2025-01-14 13:26:35,Corki,459,392
2025-01-14 13:26:36,Nami,458,395
2025-01-14 13:26:36,Ryze,341,235
2025-01-14 13:26:36,Aatrox,191,119
2025-01-14 13:26:36,Corki,459,392
2025-01-14 13:26:37,Nami,460,393
2025-01-14 13:26:37,Ryze,333,243
2025-01-14 13:26:37,Aatrox,208,100
2025-01-14 13:26:37,Corki,459,392
2025-01-14 13:26:38,Nami,461,391
2025-01-14 13:26:38,Ryze,317,249
2025-01-14 13:26:38,Aatrox,205,97
2025-01-14 13:26:38,Corki,459,392
2025-01-14 13:26:40,Nami,465,395
2025-01-14 13:26:40,Ryze,299,247
2025-01-14 13:26:40,Aatrox,205,97
2025-01-14 13:26:40,Corki,459,392
2025-01-14 13:26:41,Nami,477,405
2025-01-14 13:26:41,Ryze,297,261
2025-01-14 13:26:41,Aatrox,187,83
2025-01-14 13:26:41,Corki,459,392
2025-01-14 13:26:42,Nami,485,412
2025-01-14 13:26:42,Ryze,293,273
2025-01-14 13:26:42,Aatrox,169,83
2025-01-14 13:26:42,Corki,459,392
2025-01-14 13:26:43,Nami,497,424
2025-01-14 13:26:43,Ryze,299,280
2025-01-14 13:26:43,Aatrox,143,71
2025-01-14 13:26:43,Corki,459,392
2025-01-14 13:26:44,Nami,499,431
2025-01-14 13:26:44,Ryze,299,281
2025-01-14 13:26:44,Aatrox,149,79
2025-01-14 13:26:44,Corki,459,392
2025-01-14 13:26:45,Nami,501,433
2025-01-14 13:26:45,Ryze,311,286
2025-01-14 13:26:45,Aatrox,135,79
2025-01-14 13:26:45,Corki,459,392
2025-01-14 13:26:46,Nami,489,452
2025-01-14 13:26:46,Ryze,311,279
2025-01-14 13:26:46,Aatrox,127,86
2025-01-14 13:26:46,Corki,459,392
2025-01-14 13:26:48,Nami,496,466
2025-01-14 13:26:48,Ryze,311,286
2025-01-14 13:26:48,Aatrox,127,109
2025-01-14 13:26:48,Corki,459,392
2025-01-14 13:26:49,Nami,502,469
2025-01-14 13:26:49,Ryze,304,279
2025-01-14 13:26:49,Aatrox,121,104
2025-01-14 13:26:49,Corki,459,392
2025-01-14 13:26:50,Nami,502,464
2025-01-14 13:26:50,Ryze,311,279
2025-01-14 13:26:50,Aatrox,123,106
2025-01-14 13:26:50,Corki,488,451
2025-01-14 13:26:51,Nami,494,477
2025-01-14 13:26:51,Ryze,310,289
2025-01-14 13:26:51,Aatrox,123,104
2025-01-14 13:26:51,Corki,488,451
2025-01-14 13:26:52,Nami,482,488
2025-01-14 13:26:52,Ryze,307,277
2025-01-14 13:26:52,Aatrox,128,92
2025-01-14 13:26:52,Corki,488,451
2025-01-14 13:26:53,Nami,489,491
2025-01-14 13:26:53,Ryze,309,285
2025-01-14 13:26:53,Aatrox,122,82
2025-01-14 13:26:53,Corki,488,451
2025-01-14 13:26:54,Nami,499,481
2025-01-14 13:26:54,Ryze,297,291
2025-01-14 13:26:54,Aatrox,125,83
2025-01-14 13:26:54,Corki,488,451
2025-01-14 13:26:55,Nami,493,487
2025-01-14 13:26:55,Ryze,289,307
2025-01-14 13:26:55,Aatrox,147,71
2025-01-14 13:26:55,Corki,488,451
2025-01-14 13:26:56,Nami,487,496
2025-01-14 13:26:56,Ryze,303,293
2025-01-14 13:26:56,Aatrox,145,79
2025-01-14 13:26:56,Corki,488,451
2025-01-14 13:26:58,Nami,481,491
2025-01-14 13:26:58,Ryze,305,297
2025-01-14 13:26:58,Aatrox,142,82
2025-01-14 13:26:58,Corki,488,451
2025-01-14 13:26:59,Nami,471,476
2025-01-14 13:26:59,Ryze,299,295
2025-01-14 13:26:59,Aatrox,141,74
2025-01-14 13:26:59,Corki,488,451
2025-01-14 13:27:00,Nami,475,471
2025-01-14 13:27:00,Ryze,292,310
2025-01-14 13:27:00,Aatrox,143,76
2025-01-14 13:27:00,Corki,488,451
2025-01-14 13:27:01,Nami,472,471
2025-01-14 13:27:01,Ryze,292,311
2025-01-14 13:27:01,Aatrox,143,77
2025-01-14 13:27:01,Corki,488,451
2025-01-14 13:27:02,Nami,465,472
2025-01-14 13:27:02,Ryze,289,305
2025-01-14 13:27:02,Aatrox,148,71
2025-01-14 13:27:02,Corki,488,451
2025-01-14 13:27:03,Nami,465,477
2025-01-14 13:27:03,Ryze,275,316
2025-01-14 13:27:03,Aatrox,161,67
2025-01-14 13:27:03,Corki,488,451
2025-01-14 13:27:04,Nami,458,484
2025-01-14 13:27:04,Ryze,273,327
2025-01-14 13:27:04,Aatrox,175,67
2025-01-14 13:27:04,Corki,488,451
2025-01-14 13:27:05,Nami,461,503
2025-01-14 13:27:05,Ryze,273,320
2025-01-14 13:27:05,Aatrox,172,64
2025-01-14 13:27:05,Corki,488,451
2025-01-14 13:27:06,Nami,469,503
2025-01-14 13:27:06,Ryze,263,310
2025-01-14 13:27:06,Aatrox,166,63
2025-01-14 13:27:06,Corki,488,451
2025-01-14 13:27:08,Nami,469,508
2025-01-14 13:27:08,Ryze,266,323
2025-01-14 13:27:08,Aatrox,164,62
2025-01-14 13:27:08,Corki,488,451
2025-01-14 13:27:09,Nami,463,511
2025-01-14 13:27:09,Ryze,283,301
2025-01-14 13:27:09,Aatrox,167,68
2025-01-14 13:27:09,Corki,488,451
2025-01-14 13:27:10,Nami,461,490
2025-01-14 13:27:10,Ryze,293,281
2025-01-14 13:27:10,Aatrox,165,67
2025-01-14 13:27:10,Corki,488,451
2025-01-14 13:27:11,Nami,449,479
2025-01-14 13:27:11,Ryze,293,283
2025-01-14 13:27:11,Aatrox,163,71
2025-01-14 13:27:11,Corki,488,451
2025-01-14 13:27:12,Nami,447,484
2025-01-14 13:27:12,Ryze,299,301
2025-01-14 13:27:12,Aatrox,153,77
2025-01-14 13:27:12,Corki,488,451
2025-01-14 13:27:13,Nami,446,490
2025-01-14 13:27:13,Ryze,310,291
2025-01-14 13:27:13,Aatrox,141,67
2025-01-14 13:27:14,Corki,455,509
2025-01-14 13:27:15,Nami,447,493
2025-01-14 13:27:15,Ryze,309,293
2025-01-14 13:27:15,Aatrox,135,92
2025-01-14 13:27:15,Corki,455,509
2025-01-14 13:27:16,Nami,447,499
2025-01-14 13:27:16,Ryze,307,296
2025-01-14 13:27:16,Aatrox,128,92
2025-01-14 13:27:16,Corki,475,500
2025-01-14 13:27:17,Nami,447,499
2025-01-14 13:27:17,Ryze,309,293
2025-01-14 13:27:17,Aatrox,116,89
2025-01-14 13:27:17,Corki,475,500
