timestamp,champion,X,Y
2025-01-14 13:49:44,Rakan,464,380
2025-01-14 13:49:44,Jhin,502,398
2025-01-14 13:49:44,Viktor,388,341
2025-01-14 13:49:44,Gnar,128,99
2025-01-14 13:49:44,Volibear,319,195
2025-01-14 13:49:45,Rakan,463,383
2025-01-14 13:49:45,Jhin,507,397
2025-01-14 13:49:45,Viktor,388,341
2025-01-14 13:49:45,Gnar,128,99
2025-01-14 13:49:45,Volibear,319,195
2025-01-14 13:49:46,Rakan,464,398
2025-01-14 13:49:46,Jhin,503,403
2025-01-14 13:49:46,Viktor,388,341
2025-01-14 13:49:46,Gnar,128,99
2025-01-14 13:49:46,Volibear,319,195
2025-01-14 13:49:47,Rakan,464,398
2025-01-14 13:49:47,Jhin,502,403
2025-01-14 13:49:47,Viktor,383,319
2025-01-14 13:49:47,Gnar,128,99
2025-01-14 13:49:47,Volibear,319,194
2025-01-14 13:49:48,Rakan,464,398
2025-01-14 13:49:48,Jhin,508,399
2025-01-14 13:49:48,Viktor,374,297
2025-01-14 13:49:48,Gnar,128,99
2025-01-14 13:49:48,Volibear,319,194
2025-01-14 13:49:49,Rakan,463,395
2025-01-14 13:49:49,Jhin,494,406
2025-01-14 13:49:49,Viktor,361,277
2025-01-14 13:49:49,Gnar,128,99
2025-01-14 13:49:49,Volibear,319,194
2025-01-14 13:49:50,Rakan,463,395
2025-01-14 13:49:50,Jhin,501,395
2025-01-14 13:49:50,Viktor,338,275
2025-01-14 13:49:50,Gnar,128,99
2025-01-14 13:49:50,Volibear,319,194
2025-01-14 13:49:51,Rakan,463,395
2025-01-14 13:49:51,Jhin,501,395
2025-01-14 13:49:51,Viktor,314,281
2025-01-14 13:49:51,Gnar,128,99
2025-01-14 13:49:51,Volibear,317,197
2025-01-14 13:49:52,Rakan,463,395
2025-01-14 13:49:52,Jhin,501,409
2025-01-14 13:49:52,Viktor,310,287
2025-01-14 13:49:52,Gnar,127,111
2025-01-14 13:49:52,Volibear,311,213
2025-01-14 13:49:53,Rakan,472,404
2025-01-14 13:49:53,Jhin,497,415
2025-01-14 13:49:53,Viktor,310,290
2025-01-14 13:49:53,Gnar,112,115
2025-01-14 13:49:53,Volibear,311,213
2025-01-14 13:49:54,Rakan,481,416
2025-01-14 13:49:54,Jhin,497,415
2025-01-14 13:49:54,Viktor,314,279
2025-01-14 13:49:54,Gnar,105,104
2025-01-14 13:49:54,Volibear,310,213
2025-01-14 13:49:55,Rakan,494,429
2025-01-14 13:49:55,Jhin,497,415
2025-01-14 13:49:55,Viktor,319,275
2025-01-14 13:49:55,Gnar,104,98
2025-01-14 13:49:55,Volibear,310,213
2025-01-14 13:49:56,Rakan,489,451
2025-01-14 13:49:56,Jhin,497,415
2025-01-14 13:49:56,Viktor,307,278
2025-01-14 13:49:56,Gnar,119,98
2025-01-14 13:49:56,Volibear,311,212
2025-01-14 13:49:57,Rakan,493,460
2025-01-14 13:49:57,Jhin,497,415
2025-01-14 13:49:57,Viktor,295,289
2025-01-14 13:49:57,Gnar,121,116
2025-01-14 13:49:57,Volibear,310,206
2025-01-14 13:49:58,Rakan,490,454
2025-01-14 13:49:58,Jhin,497,415
2025-01-14 13:49:58,Viktor,303,285
2025-01-14 13:49:58,Gnar,122,112
2025-01-14 13:49:58,Volibear,311,203
2025-01-14 13:49:59,Rakan,481,463
2025-01-14 13:49:59,Jhin,497,415
2025-01-14 13:49:59,Viktor,315,277
2025-01-14 13:49:59,Gnar,122,110
2025-01-14 13:49:59,Volibear,310,193
2025-01-14 13:50:00,Rakan,488,458
2025-01-14 13:50:00,Jhin,497,415
2025-01-14 13:50:00,Viktor,307,271
2025-01-14 13:50:00,Gnar,103,115
2025-01-14 13:50:00,Volibear,307,185
2025-01-14 13:50:01,Rakan,481,469
2025-01-14 13:50:01,Jhin,497,415
2025-01-14 13:50:01,Viktor,307,269
2025-01-14 13:50:01,Gnar,104,111
2025-01-14 13:50:01,Volibear,290,165
2025-01-14 13:50:02,Rakan,493,472
2025-01-14 13:50:02,Jhin,497,415
2025-01-14 13:50:02,Viktor,308,275
2025-01-14 13:50:02,Gnar,100,107
2025-01-14 13:50:02,Volibear,283,157
2025-01-14 13:50:03,Rakan,461,482
2025-01-14 13:50:03,Jhin,477,459
2025-01-14 13:50:03,Viktor,322,271
2025-01-14 13:50:03,Gnar,95,100
2025-01-14 13:50:03,Volibear,275,152
2025-01-14 13:50:04,Rakan,459,470
2025-01-14 13:50:04,Jhin,477,459
2025-01-14 13:50:04,Viktor,313,283
2025-01-14 13:50:04,Gnar,94,98
2025-01-14 13:50:04,Volibear,275,152
2025-01-14 13:50:05,Rakan,476,461
2025-01-14 13:50:05,Jhin,477,459
2025-01-14 13:50:05,Viktor,304,274
2025-01-14 13:50:05,Gnar,98,101
2025-01-14 13:50:05,Volibear,275,152
2025-01-14 13:50:06,Rakan,491,464
2025-01-14 13:50:06,Jhin,477,459
2025-01-14 13:50:06,Viktor,304,281
2025-01-14 13:50:06,Gnar,91,95
2025-01-14 13:50:06,Volibear,277,151
2025-01-14 13:50:07,Rakan,490,464
2025-01-14 13:50:07,Jhin,477,459
2025-01-14 13:50:07,Viktor,309,275
2025-01-14 13:50:07,Gnar,99,98
2025-01-14 13:50:07,Volibear,275,154
2025-01-14 13:50:08,Rakan,488,461
2025-01-14 13:50:08,Jhin,477,459
2025-01-14 13:50:08,Viktor,309,281
2025-01-14 13:50:08,Gnar,99,98
2025-01-14 13:50:08,Volibear,275,154
2025-01-14 13:50:09,Rakan,488,463
2025-01-14 13:50:09,Jhin,477,459
2025-01-14 13:50:09,Viktor,320,274
2025-01-14 13:50:09,Gnar,99,98
2025-01-14 13:50:09,Volibear,281,145
2025-01-14 13:50:10,Rakan,487,457
2025-01-14 13:50:10,Jhin,477,459
2025-01-14 13:50:10,Viktor,320,269
2025-01-14 13:50:10,Gnar,94,95
2025-01-14 13:50:10,Volibear,283,141
2025-01-14 13:50:11,Rakan,495,442
2025-01-14 13:50:11,Jhin,477,459
2025-01-14 13:50:11,Viktor,323,269
2025-01-14 13:50:11,Gnar,103,94
2025-01-14 13:50:11,Volibear,278,111
2025-01-14 13:50:12,Rakan,493,448
2025-01-14 13:50:12,Jhin,477,459
2025-01-14 13:50:12,Viktor,314,268
2025-01-14 13:50:12,Gnar,112,93
2025-01-14 13:50:12,Volibear,259,116
2025-01-14 13:50:13,Rakan,505,421
2025-01-14 13:50:13,Jhin,477,459
2025-01-14 13:50:13,Viktor,311,280
2025-01-14 13:50:13,Gnar,113,94
2025-01-14 13:50:13,Volibear,259,116
2025-01-14 13:50:14,Rakan,506,425
2025-01-14 13:50:14,Jhin,477,459
2025-01-14 13:50:14,Viktor,307,291
2025-01-14 13:50:14,Gnar,110,95
2025-01-14 13:50:14,Volibear,261,115
2025-01-14 13:50:15,Rakan,509,435
2025-01-14 13:50:15,Jhin,477,459
2025-01-14 13:50:15,Viktor,319,286
2025-01-14 13:50:15,Gnar,119,101
2025-01-14 13:50:15,Volibear,261,115
2025-01-14 13:50:16,Rakan,508,421
2025-01-14 13:50:16,Jhin,493,439
2025-01-14 13:50:16,Viktor,313,279
2025-01-14 13:50:16,Gnar,117,121
2025-01-14 13:50:16,Volibear,261,115
2025-01-14 13:50:17,Rakan,518,407
2025-01-14 13:50:17,Jhin,499,412
2025-01-14 13:50:17,Viktor,303,283
2025-01-14 13:50:17,Gnar,115,121
2025-01-14 13:50:17,Volibear,247,113
2025-01-14 13:50:19,Rakan,518,413
2025-01-14 13:50:19,Jhin,497,411
